iter	Passed	Remaining
858	1590	261
859	1592	259
860	1593	257
861	1594	255
862	1596	253
863	1598	251
864	1600	249
865	1602	247
866	1603	245
867	1605	244
868	1607	242
869	1608	240
870	1610	238
871	1612	236
872	1613	234
873	1614	232
874	1618	231
875	1620	229
876	1622	227
877	1623	225
878	1625	223
879	1626	221
880	1627	219
881	1629	218
882	1631	216
883	1632	214
884	1634	212
885	1636	210
886	1637	208
887	1639	206
888	1640	204
889	1642	203
890	1644	201
891	1646	199
892	1647	197
893	1648	195
894	1650	193
895	1652	191
896	1653	189
897	1654	187
898	1656	186
899	1657	184
900	1659	182
901	1660	180
902	1662	178
903	1663	176
904	1664	174
905	1666	172
906	1668	171
907	1669	169
908	1671	167
909	1672	165
910	1674	163
911	1675	161
912	1677	159
913	1678	157
914	1680	156
915	1681	154
916	1683	152
917	1685	150
918	1687	148
919	1688	146
920	1690	144
921	1692	143
922	1693	141
923	1695	139
924	1697	137
925	1699	135
926	1700	133
927	1702	132
928	1704	130
929	1705	128
930	1707	126
931	1708	124
932	1710	122
933	1711	120
934	1712	119
935	1714	117
936	1715	115
937	1716	113
938	1718	111
939	1720	109
940	1721	107
941	1723	106
942	1724	104
943	1725	102
944	1727	100
945	1728	98
946	1730	96
947	1732	95
948	1733	93
949	1734	91
950	1737	89
951	1739	87
952	1740	85
953	1741	83
954	1743	82
955	1745	80
956	1746	78
957	1747	76
958	1748	74
959	1750	72
960	1751	71
961	1752	69
962	1754	67
963	1755	65
964	1757	63
965	1758	61
966	1759	60
967	1761	58
968	1762	56
969	1764	54
970	1765	52
971	1766	50
972	1768	49
973	1770	47
974	1771	45
975	1773	43
976	1774	41
977	1775	39
978	1777	38
979	1778	36
980	1779	34
981	1781	32
982	1783	30
983	1784	29
984	1785	27
985	1787	25
986	1789	23
987	1790	21
988	1792	19
989	1794	18
990	1795	16
991	1796	14
992	1797	12
993	1799	10
994	1801	9
995	1803	7
996	1804	5
997	1805	3
998	1807	1
999	1809	0
